QuestionID	RespondentID	Response
64	1722540954	One or more times per week.
37	1722540954	meets expectations.
81	1722540954	
15	1722540954	Agree
5	1722540954	Agree
48	1722540954	Agree
74	1722540954	
25	1722540954	Agree
62	1722540954	
43	1722540954	Neither Likely nor Unlikely
3	1722540954	
58	1722540954	
35	1722540954	
66	1722540954	creating a software knowledge-base.
88	1722540954	providing online software demos.
40	1722540954	
40	1722540954	
30	1722540954	Disagree
12	1722540954	
9	1722540954	No
2	1722540954	
59	1722540954	
45	1722540954	
60	1722540954	
39	1722540954	
7	1722540954	
1	1722540954	Sometimes
26	1722540954	
4	1722540954	Sometimes
67	1722540954	
51	1722540954	Strongly Agree
10	1722540954	Agree
55	1722540954	Strongly Agree
44	1722540954	Strongly Agree
63	1722540954	Strongly Disagree
23	1722540954	Strongly Disagree
75	1722540954	Strongly Disagree
76	1722540954	Neither Agree nor Disagree
78	1722540954	Neither Agree nor Disagree
6	1722540954	Neither Agree nor Disagree
27	1722540954	Neither Agree nor Disagree
90	1722540954	Neither Agree nor Disagree
53	1722540954	
14	1722540954	Don't know
49	1722540954	Don't know
72	1722540954	Don't know
20	1722540954	Don't know
91	1722540954	
32	1722540954	
22	1722540954	
38	1722540954	
64	1596532116	I do not use  software. 
37	1596532116	
81	1596532116	
15	1596532116	
5	1596532116	
48	1596532116	
74	1596532116	
25	1596532116	
62	1596532116	
43	1596532116	
3	1596532116	
58	1596532116	
35	1596532116	
66	1596532116	
88	1596532116	
40	1596532116	
40	1596532116	
30	1596532116	
12	1596532116	
9	1596532116	
2	1596532116	
59	1596532116	
45	1596532116	
60	1596532116	
39	1596532116	
7	1596532116	
1	1596532116	
26	1596532116	
4	1596532116	
67	1596532116	
51	1596532116	
10	1596532116	
55	1596532116	
44	1596532116	
63	1596532116	
23	1596532116	
75	1596532116	
76	1596532116	
78	1596532116	
6	1596532116	
27	1596532116	
90	1596532116	
53	1596532116	
14	1596532116	
49	1596532116	
72	1596532116	
20	1596532116	
91	1596532116	
32	1596532116	Dean, Student Support Services
22	1596532116	Good customer services and responsive to needs and requests.
38	1596532116	Providing periodic training, as needed.
64	1596270349	One or more times per day.
37	1596270349	
81	1596270349	
15	1596270349	
5	1596270349	
48	1596270349	
74	1596270349	
25	1596270349	
62	1596270349	
43	1596270349	
3	1596270349	
58	1596270349	
35	1596270349	
66	1596270349	
88	1596270349	
40	1596270349	
40	1596270349	
30	1596270349	
12	1596270349	
9	1596270349	
2	1596270349	
59	1596270349	
45	1596270349	
60	1596270349	
39	1596270349	
7	1596270349	
1	1596270349	
26	1596270349	
4	1596270349	
67	1596270349	
51	1596270349	
10	1596270349	
55	1596270349	
44	1596270349	
63	1596270349	
23	1596270349	
75	1596270349	
76	1596270349	
78	1596270349	
6	1596270349	
27	1596270349	
90	1596270349	
53	1596270349	
14	1596270349	
49	1596270349	
72	1596270349	
20	1596270349	
91	1596270349	
32	1596270349	
22	1596270349	
38	1596270349	
64	1584494886	One or more times per month.
37	1584494886	meets expectations.
81	1584494886	
15	1584494886	Strongly Agree
5	1584494886	Strongly Agree
48	1584494886	Strongly Agree
74	1584494886	
25	1584494886	Strongly Agree
62	1584494886	
43	1584494886	Very Likely
3	1584494886	
58	1584494886	
35	1584494886	
66	1584494886	
88	1584494886	providing online software demos.
40	1584494886	
40	1584494886	
30	1584494886	Agree
12	1584494886	
9	1584494886	Yes
2	1584494886	Agree
59	1584494886	Agree
45	1584494886	Strongly Agree
60	1584494886	
39	1584494886	Agree
7	1584494886	
1	1584494886	Frequently
26	1584494886	
4	1584494886	Frequently
67	1584494886	
51	1584494886	Agree
10	1584494886	Agree
55	1584494886	Agree
44	1584494886	Agree
63	1584494886	
23	1584494886	
75	1584494886	
76	1584494886	
78	1584494886	
6	1584494886	
27	1584494886	
90	1584494886	
53	1584494886	
14	1584494886	Don't know
49	1584494886	Agree
72	1584494886	Agree
20	1584494886	Agree
91	1584494886	
32	1584494886	
22	1584494886	
38	1584494886	.
64	1584478503	I do not use  software. 
37	1584478503	
81	1584478503	
15	1584478503	
5	1584478503	
48	1584478503	
74	1584478503	
25	1584478503	
62	1584478503	
43	1584478503	
3	1584478503	
58	1584478503	
35	1584478503	
66	1584478503	
88	1584478503	
40	1584478503	
40	1584478503	
30	1584478503	
12	1584478503	
9	1584478503	
2	1584478503	
59	1584478503	
45	1584478503	
60	1584478503	
39	1584478503	
7	1584478503	
1	1584478503	
26	1584478503	
4	1584478503	
67	1584478503	
51	1584478503	
10	1584478503	
55	1584478503	
44	1584478503	
63	1584478503	
23	1584478503	
75	1584478503	
76	1584478503	
78	1584478503	
6	1584478503	
27	1584478503	
90	1584478503	
53	1584478503	
14	1584478503	
49	1584478503	
72	1584478503	
20	1584478503	
91	1584478503	
32	1584478503	Math Tutor Coordinator - Cedar Valley College
22	1584478503	I used Estudias daily between 2005 and November 2010. During that period, I used Estudias to monitor, improve services, and provide reports on services to El Centro College TRIO students. The report generated from Estudias were sent to the Department of Education and El Centro College staff and administration.
38	1584478503	I am hoping that the DCCCD will purchase the district license for me to start using Estudias here at Cedar valley College. When this is done, I expect  to continue to provide timely technical support for the software and enhanced customer service. Thank you.
64	1584374938	One or more times per week.
37	1584374938	meets expectations.
81	1584374938	
15	1584374938	Agree
5	1584374938	Agree
48	1584374938	Agree
74	1584374938	Aaron has been great.
25	1584374938	Agree
62	1584374938	
43	1584374938	Likely
3	1584374938	
58	1584374938	
35	1584374938	
66	1584374938	
88	1584374938	providing online software demos.
40	1584374938	
40	1584374938	
30	1584374938	Agree
12	1584374938	
9	1584374938	Yes
2	1584374938	Agree
59	1584374938	Agree
45	1584374938	Agree
60	1584374938	
39	1584374938	Agree
7	1584374938	
1	1584374938	Frequently
26	1584374938	
4	1584374938	Frequently
67	1584374938	
51	1584374938	Agree
10	1584374938	Agree
55	1584374938	Agree
44	1584374938	Agree
63	1584374938	Neither Agree nor Disagree
23	1584374938	Neither Agree nor Disagree
75	1584374938	Neither Agree nor Disagree
76	1584374938	Neither Agree nor Disagree
78	1584374938	Neither Agree nor Disagree
6	1584374938	Neither Agree nor Disagree
27	1584374938	Agree
90	1584374938	Neither Agree nor Disagree
53	1584374938	
14	1584374938	Agree
49	1584374938	Agree
72	1584374938	Agree
20	1584374938	Agree
91	1584374938	
32	1584374938	
22	1584374938	
38	1584374938	
64	1584111405	One or more times per month.
37	1584111405	meets expectations.
81	1584111405	
15	1584111405	Strongly Agree
5	1584111405	Strongly Agree
48	1584111405	Strongly Agree
74	1584111405	
25	1584111405	Strongly Disagree
62	1584111405	
43	1584111405	Likely
3	1584111405	
58	1584111405	
35	1584111405	
66	1584111405	creating a software knowledge-base.
88	1584111405	
40	1584111405	
40	1584111405	
30	1584111405	Agree
12	1584111405	
9	1584111405	Yes
2	1584111405	
59	1584111405	
45	1584111405	
60	1584111405	
39	1584111405	
7	1584111405	
1	1584111405	
26	1584111405	
4	1584111405	
67	1584111405	
51	1584111405	
10	1584111405	
55	1584111405	
44	1584111405	
63	1584111405	
23	1584111405	
75	1584111405	
76	1584111405	
78	1584111405	
6	1584111405	
27	1584111405	
90	1584111405	
53	1584111405	
14	1584111405	
49	1584111405	
72	1584111405	
20	1584111405	
91	1584111405	
32	1584111405	
22	1584111405	
38	1584111405	
64	1583589939	One or more times per week.
37	1583589939	Don't know
81	1583589939	
15	1583589939	Agree
5	1583589939	Agree
48	1583589939	Agree
74	1583589939	
25	1583589939	Neither Agree nor Disagree
62	1583589939	
43	1583589939	Neither Likely nor Unlikely
3	1583589939	
58	1583589939	
35	1583589939	
66	1583589939	
88	1583589939	
40	1583589939	
40	1583589939	
30	1583589939	
12	1583589939	
9	1583589939	
2	1583589939	
59	1583589939	
45	1583589939	
60	1583589939	
39	1583589939	
7	1583589939	
1	1583589939	
26	1583589939	
4	1583589939	
67	1583589939	
51	1583589939	
10	1583589939	
55	1583589939	
44	1583589939	
63	1583589939	
23	1583589939	
75	1583589939	
76	1583589939	
78	1583589939	
6	1583589939	
27	1583589939	
90	1583589939	
53	1583589939	
14	1583589939	
49	1583589939	
72	1583589939	
20	1583589939	
91	1583589939	
32	1583589939	
22	1583589939	
38	1583589939	
64	1582802573	One or more times per week.
37	1582802573	exceeds expectations.
81	1582802573	Our contact people have been very quick to respond to our question.  They are pleasant people to work with.
15	1582802573	Strongly Disagree
5	1582802573	Strongly Disagree
48	1582802573	Strongly Disagree
74	1582802573	
25	1582802573	Strongly Disagree
62	1582802573	
43	1582802573	Very Unlikely
3	1582802573	
58	1582802573	
35	1582802573	
66	1582802573	creating a software knowledge-base.
88	1582802573	
40	1582802573	
40	1582802573	
30	1582802573	Strongly Disagree
12	1582802573	
9	1582802573	Yes
2	1582802573	Strongly Disagree
59	1582802573	Strongly Disagree
45	1582802573	Strongly Disagree
60	1582802573	
39	1582802573	Strongly Disagree
7	1582802573	
1	1582802573	Sometimes
26	1582802573	
4	1582802573	Sometimes
67	1582802573	
51	1582802573	
10	1582802573	
55	1582802573	
44	1582802573	Agree
63	1582802573	
23	1582802573	
75	1582802573	
76	1582802573	Agree
78	1582802573	
6	1582802573	
27	1582802573	
90	1582802573	
53	1582802573	
14	1582802573	
49	1582802573	
72	1582802573	Disagree
20	1582802573	Disagree
91	1582802573	
32	1582802573	
22	1582802573	
38	1582802573	Currently Zogo Tech is doing a good job of serving us.  As we start allowing more users to view reports, we may think of some additional thing that Zogo Tech can provide.
64	1582753045	One or more times per month.
37	1582753045	N/A
81	1582753045	
15	1582753045	N/A
5	1582753045	N/A
48	1582753045	N/A
74	1582753045	
25	1582753045	N/A
62	1582753045	
43	1582753045	N/A
3	1582753045	
58	1582753045	
35	1582753045	
66	1582753045	
88	1582753045	
40	1582753045	Others (please specify)
40	1582753045	I don't have enough experience with it to know.
30	1582753045	N/A
12	1582753045	
9	1582753045	No
2	1582753045	
59	1582753045	
45	1582753045	
60	1582753045	
39	1582753045	
7	1582753045	
1	1582753045	Never
26	1582753045	
4	1582753045	N/A
67	1582753045	
51	1582753045	N/A
10	1582753045	N/A
55	1582753045	N/A
44	1582753045	N/A
63	1582753045	N/A
23	1582753045	N/A
75	1582753045	N/A
76	1582753045	N/A
78	1582753045	N/A
